url,Artist,Song,Entry,Week entered,Year entered,Week exited,Year exited,Peak,Peak weeks,Weeks,Current
https://acharts.co/song/178715,Kendrick Lamar,Crown,44,21,22,21,22,44,1,1,-
https://acharts.co/song/178716,Kendrick Lamar,Auntie Diaries,48,21,22,21,22,48,1,1,-
https://acharts.co/song/178771,Morgan Wallen,You Proof,40,13,23,31,23,20,1,18,-
https://acharts.co/song/178798,Harry Styles,Late Night Talking,2,22,22,13,22,2,1,29,-
https://acharts.co/song/178799,Harry Styles,Matilda,3,22,22,11,22,3,1,8,-
https://acharts.co/song/178801,Harry Styles,Little Freak,6,22,22,25,22,6,1,4,-
https://acharts.co/song/178802,Harry Styles,Music For A Sushi Restaurant,4,22,22,12,22,4,1,9,-
https://acharts.co/song/178839,Harry Styles,Boyfriends,15,22,22,23,22,15,1,2,-
https://acharts.co/song/178840,Harry Styles,Grapejuice,9,22,22,24,22,9,1,3,-
https://acharts.co/song/178841,Harry Styles,Satellite,10,22,22,11,22,10,1,5,-
https://acharts.co/song/178842,Harry Styles,Daylight,8,22,22,10,22,8,1,6,-
https://acharts.co/song/178850,Harry Styles,Cinema,11,22,22,23,22,11,1,2,-
https://acharts.co/song/178851,Harry Styles,Daydreaming,12,22,22,23,22,12,1,2,-
https://acharts.co/song/178852,Harry Styles,Love Of My Life,13,22,22,23,22,13,1,2,-
https://acharts.co/song/178853,Harry Styles,Keep Driving,14,22,22,23,22,14,1,2,-
https://acharts.co/song/178934,"Sleepy Hallow,347Aidan",Die Young,48,23,22,27,22,38,1,5,-
https://acharts.co/song/178970,"Calvin Harris,Dua Lipa,Young",Potion,32,23,22,23,22,32,1,1,-
https://acharts.co/song/178971,"Kanye West,XXXTentacion",True Love,21,23,22,25,22,21,1,3,-
https://acharts.co/song/178975,OneRepublic,I Ain't Worried,30,25,22,17,22,2,1,92,-
https://acharts.co/song/178990,Lf System,Afraid To Feel,49,34,22,06,22,19,1,24,-
https://acharts.co/song/179208,Rosa Linn,Snap,23,32,22,06,22,20,1,24,-
https://acharts.co/song/179227,"Post Malone,Doja Cat",I Like You (a Happier Song),7,24,22,13,22,7,1,39,-
https://acharts.co/song/179302,"Post Malone,Kid Laroi",Wasting Angels,30,24,22,24,22,30,1,1,-
https://acharts.co/song/179433,Joji,Glimpse Of Us,4,25,22,06,22,1,1,21,-
https://acharts.co/song/179450,BTS,Yet To Come,17,25,22,25,22,17,1,1,-
https://acharts.co/song/179466,"Marshmello,Khalid",Numb,49,33,22,43,22,38,2,11,-
https://acharts.co/song/179471,Vance Joy,Clarity,41,25,22,37,22,41,1,4,-
https://acharts.co/song/179518,Bailey Zimmerman,Rock And A Hard Place,41,15,23,18,23,41,1,4,-
https://acharts.co/song/179548,"Drake,21 Savage",Jimmy Cooks,4,26,22,47,22,4,1,18,-
https://acharts.co/song/179575,Beyoncé,Break My Soul,32,26,22,42,22,6,2,17,-
https://acharts.co/song/179583,Drake,Massive,12,26,22,31,22,12,1,6,-
https://acharts.co/song/179610,Drake,Sticky,15,26,22,29,22,15,1,4,-
https://acharts.co/song/179619,Luke Combs,The Kind Of Love We Make,23,26,22,03,22,17,1,69,-
https://acharts.co/song/179714,"Charlie Puth,Jung Kook",Left And Right,19,27,22,35,22,19,1,8,-
https://acharts.co/song/179894,Metallica,Master Of Puppets,24,28,22,31,22,19,1,4,-
https://acharts.co/song/179899,"Cardi B,Kanye West,Lil Durk",Hot S**t,39,28,22,28,22,39,1,1,-
https://acharts.co/song/179900,Yung Gravy,Betty (get Money),34,29,22,38,22,25,1,10,-
https://acharts.co/song/179983,Steve Lacy,Bad Habit,36,29,22,17,22,3,2,41,-
https://acharts.co/song/180016,"Fivio Foreign,Kid Laroi",Paris To Tokyo,26,29,22,30,22,26,1,2,-
https://acharts.co/song/180044,"R3Hab,Amy Shark",Sway My Way,44,29,22,39,22,25,1,11,-
https://acharts.co/song/180118,Billie Eilish,Tv,23,31,22,32,22,23,1,2,-
https://acharts.co/song/180127,Lizzo,2 Be Loved (am I Ready),42,37,22,09,22,11,2,24,-
https://acharts.co/song/180212,Central Cee,Doja,8,31,22,45,22,3,1,15,-
https://acharts.co/song/180221,Billie Eilish,The 30th,31,31,22,31,22,31,1,1,-
https://acharts.co/song/180222,"Russ,Ed Sheeran",Are You Entertained,45,31,22,31,22,45,1,1,-
https://acharts.co/song/180223,Mac Miller,Love Lost,39,33,22,43,22,28,1,11,-
https://acharts.co/song/180224,Chris Brown,Under The Influence,20,33,22,05,22,5,1,24,-
https://acharts.co/song/180227,"Eliza Rose,Interplanetary",B.o.t.a. (baddest Of Them All),50,35,22,16,22,4,2,34,-
https://acharts.co/song/180364,Beyoncé,Alien Superstar,31,32,22,32,22,31,1,1,-
https://acharts.co/song/180365,Beyoncé,Cuff It,24,32,22,15,22,8,1,31,-
https://acharts.co/song/180369,Noah Kahan,Stick Season,45,44,23,21,23,1,3,30,12
https://acharts.co/song/180388,Beyoncé,Energy,42,32,22,32,22,42,1,1,-
https://acharts.co/song/180398,Beyoncé,Summer Renaissance,33,32,22,32,22,33,1,1,-
https://acharts.co/song/180399,Beyoncé,I'm That Girl,38,32,22,32,22,38,1,1,-
https://acharts.co/song/180400,Beyoncé,Cozy,46,32,22,32,22,46,1,1,-
https://acharts.co/song/180401,Beyoncé,Church Girl,50,32,22,32,22,50,1,1,-
https://acharts.co/song/180436,Beyoncé,America Has A Problem,32,23,23,24,23,32,1,2,-
https://acharts.co/song/180484,"Ksi,Tom Grennan",Not Over Yet,47,33,22,33,22,47,1,1,-
https://acharts.co/song/180486,"DJ Khaled,Drake,Lil Baby",Staying Alive,16,33,22,36,22,16,1,4,-
https://acharts.co/song/180488,"Benny Blanco,BTS,Snoop Dogg",Bad Decisions,31,33,22,33,22,31,1,1,-
https://acharts.co/song/180584,Nicki Minaj,Super Freaky Girl,4,34,22,03,22,1,1,20,-
https://acharts.co/song/180586,Blackpink,Pink Venom,1,35,22,40,22,1,1,6,-
https://acharts.co/song/180656,Armani White,Billie Eilish.,42,39,22,43,22,33,1,5,-
https://acharts.co/song/180676,"Elton John,Britney Spears",Hold Me Closer,1,36,22,04,22,1,1,17,-
https://acharts.co/song/180778,Tory Lanez,The Color Violet,46,05,23,07,23,39,1,3,-
https://acharts.co/song/180807,"David Guetta,Bebe Rexha",I'm Good (blue),19,36,22,02,22,1,2,43,-
https://acharts.co/song/180909,Jvke,Golden Hour,47,45,22,23,22,29,1,25,-
https://acharts.co/song/180941,"Gorillaz,Tame Impala",New Gold,44,37,22,37,22,44,1,1,-
https://acharts.co/song/180944,Dean Lewis,How Do I Say Goodbye,49,41,22,09,22,14,3,20,-
https://acharts.co/song/181018,D4Vd,Romantic Homicide,48,40,22,44,22,40,1,5,-
https://acharts.co/song/181046,Lewis Capaldi,Forget Me,24,38,22,16,22,21,1,19,-
https://acharts.co/song/181181,Blackpink,Shut Down,5,39,22,41,22,5,1,3,-
https://acharts.co/song/181189,Montell Fish,Hotel,48,39,22,39,22,48,1,1,-
https://acharts.co/song/181191,Omar Apollo,Evergreen (you Didn't Deserve Me At All),47,40,22,43,22,33,1,4,-
https://acharts.co/song/181325,"Sam Smith,Kim Petras",Unholy,1,40,22,25,22,1,6,38,-
https://acharts.co/song/181333,Lil Nas X,Star Walkin',21,40,22,06,22,21,1,9,-
https://acharts.co/song/181501,Ed Sheeran,Celestial,37,42,22,43,22,35,1,2,-
https://acharts.co/song/181687,"Oliver Tree,Robin Schulz",Miss You,4,43,22,19,22,4,1,29,-
https://acharts.co/song/181788,Lil Yachty,Poland,49,43,22,43,22,49,1,1,-
https://acharts.co/song/181848,Blink 182,Edging,50,43,22,43,22,50,1,1,-
https://acharts.co/song/181940,Lil Uzi Vert,Just Wanna Rock,39,49,22,09,22,39,1,6,-
https://acharts.co/song/181965,Taylor Swift,Anti-hero,1,44,22,17,22,1,6,77,-
https://acharts.co/song/181966,Taylor Swift,Lavender Haze,2,44,22,28,22,2,1,13,-
https://acharts.co/song/181967,"Taylor Swift,Lana Del Rey",Snow On The Beach,3,44,22,23,22,3,1,6,-
https://acharts.co/song/181968,Taylor Swift,Midnight Rain,5,44,22,49,22,5,1,6,-
